GeneName,RPKM          Oligodendrocytes div1                  1,RPKM          Oligodendrocytes div1                    2,RPKM          Oligodendrocytes div1                    3,RPKM          Oligodendrocytes div2.5                    1,RPKM          Oligodendrocytes div2.5                    2,RPKM          Oligodendrocytes div2.5                    3,RPKM          Oligodendrocytes div4                    1,RPKM          Oligodendrocytes div4                    2,RPKM          Oligodendrocytes div4                    3,RPKM          adult microglia 1,RPKM          adult microglia 2,RPKM          adult microglia 3,RPKM          Astrocytes 1,RPKM          Astrocytes 2,RPKM          Astrocytes 3,RPKM          cortical neurons div05                  1,RPKM          cortical neurons div05                  2,RPKM          cortical neurons div05                  3,RPKM          cortical neurons div10                  1,RPKM          cortical neurons div10                  2,RPKM          cortical neurons div10                  3
Gpn3,2.071963,1.50574,2.164691,1.190809,1.822395,0.6039236,2.51519,1.295337,1.273807,1.667876,1.241898,3.210044,2.140667,2.250217,2.810227,1.9147,2.094992,1.599705,1.91817,0.8954142,2.527478
Dmpk,2.070697,3.685274,2.403743,3.724063,3.083652,2.682465,3.670732,4.403216,3.377424,1.984354,1.477546,4.027463,6.019842,4.283508,2.483716,1.366807,1.894311,2.093572,2.323634,2.130636,2.20518
Ttc39c,2.070573,1.390927,2.863111,3.70003,3.689958,5.206826,3.351337,4.133595,3.423066,0.3676671,0.973384,0.6861798,0.915179,0.881846,2.123956,1.688307,0.9852174,1.645651,2.767693,1.710673,2.228632
Hic1,2.06938,1.141325,0.8445285,1.592845,1.643167,0.9424542,3.663413,3.349816,1.306297,0.1952106,0.1938046,0.2732422,5.284257,5.208844,6.640909,0.2987989,0.3923214,0.4368741,0.1088511,0.4890691,0.1314754
Chek2,2.068459,2.952702,1.463198,3.927268,4.800966,2.135279,4.603384,3.694704,3.519754,10.4066,10.33165,11.28899,6.556849,6.084031,7.890398,1.194664,1.17644,1.621953,0.4352106,0.5586874,0.6570843
Nudcd1,2.068105,3.05542,1.939055,1.893909,2.176584,0.8501013,1.931159,2.202235,2.445068,1.280593,1.35083,0.7842121,1.867728,1.439761,1.387085,2.297037,1.688959,1.765611,2.00832,1.374995,2.183168
Sorbs3,2.066069,1.37276,1.079267,7.599493,6.05737,2.890586,11.10223,7.602293,8.274338,0.8315657,0.6604611,0.5819839,15.98992,11.66784,12.73014,0.2863879,0.5013677,0.3190308,0.2782128,0.3571467,0.2520288
Tekt1,2.066069,1.072469,0.3597555,0.8481577,2.422948,NaN,3.344047,1.660695,0.5443643,NaN,NaN,NaN,22.12198,22.9991,21.2169,0.4773131,0.8356129,1.39576,0.6955321,0.2232167,0.6300719
Pfkfb2,2.065218,2.172266,2.034621,1.628685,1.593389,1.557697,1.495405,1.723112,1.503545,1.339801,1.357297,1.224725,1.761067,1.573959,1.605882,1.349738,1.044086,1.625968,1.738114,1.732153,2.016505
Acot9,2.0642,2.532634,2.287283,3.235492,1.283735,1.27625,3.341022,3.519501,3.296194,12.83985,11.43514,11.62915,4.230042,5.434632,4.363165,7.58675,6.451169,6.157522,7.738693,7.704148,6.676537
Nupl1,2.062789,1.763615,2.324135,1.693623,1.185834,2.239949,1.08018,1.625548,1.491961,2.563994,2.060665,2.734401,2.279346,3.514123,3.173957,3.223758,2.208405,2.459196,2.348801,2.490815,3.207033
Tpcn1,2.062424,1.297669,1.795604,2.411702,1.893406,1.821646,2.882945,3.628106,2.799354,4.779356,6.056033,4.753286,5.400403,6.448071,5.207074,0.7941183,1.200654,0.6031591,1.420169,0.6076988,0.8259075
Rb1cc1,2.061377,1.669252,2.548464,1.82786,1.369886,1.762458,1.968507,1.841027,1.99147,0.8711613,1.276738,1.451656,2.284619,2.350656,2.516282,3.000244,2.709575,2.944334,2.63702,3.652441,3.646119
Fhit,2.060208,1.222202,2.562392,1.44986,1.725767,NaN,2.620011,2.628546,1.033943,1.480726,1.470061,2.072617,5.805058,8.523618,5.132356,NaN,1.487933,2.272327,0.4953992,2.861787,1.196732
Acaca,2.058383,2.971708,2.464118,1.58438,1.885886,1.968636,2.967212,2.585183,2.739943,0.323622,0.289162,0.5435802,0.604158,0.7276914,1.246343,2.489141,2.894253,2.26588,3.924882,3.196803,3.302111
Ascl1,2.057472,1.468508,1.791293,2.322728,1.382371,2.248873,1.560999,1.378154,1.806997,0.1293915,NaN,NaN,3.019453,2.211202,2.989898,0.2970793,1.300212,1.489234,0.4328987,0.5557196,1.830063
Ccnj,2.05481,1.738203,2.650334,1.437135,1.189997,2.218236,1.047019,1.427348,1.537303,1.072081,0.9883341,0.8575,0.6433167,0.7576378,0.8847498,2.637289,2.462398,2.350314,1.729355,1.562224,1.856707
Atf7ip,2.053381,2.731325,1.675998,2.002004,1.254202,2.369092,2.648423,2.12043,2.141543,1.420477,1.85896,1.897908,1.084842,1.567994,1.927137,2.742521,1.946441,1.795914,2.754243,2.981055,3.131013
Ninl,2.053331,2.723856,2.929821,1.264393,2.118157,1.717896,1.661715,2.088541,1.753267,2.582622,2.393085,2.811646,1.92856,1.806698,1.381426,2.569506,2.768203,2.036695,1.872119,1.170825,1.507488
Mpped1,2.052612,3.150126,2.408649,2.857627,3.052567,7.890402,3.39449,1.753495,3.762218,3.322559,2.317955,2.639579,2.095528,2.503813,1.988558,243.906,248.239,241.1599,163.1366,152.4379,137.1687
B3galnt2,2.051812,2.539779,1.580246,1.490232,1.465332,0.6133847,1.341162,1.268643,1.039631,1.58813,1.576692,1.556068,2.223617,1.499839,1.605517,1.367364,0.7181367,1.066253,1.593999,0.8526016,0.9626526
Gtpbp5,2.051719,1.242524,2.381713,1.96529,2.0051,2.159527,1.383675,1.527001,2.252431,1.204278,0.8540027,1.926473,2.408809,2.011598,2.153334,1.184995,1.383016,2.31011,2.158442,1.84722,1.390435
Wfdc2,2.051478,0.425958,0.3572149,0.3368672,0.4009728,1.195905,1.328172,1.465749,1.441386,NaN,NaN,NaN,3.082912,2.227969,2.782442,0.9478844,NaN,NaN,1.03593,NaN,0.4170815
Pkd1,2.05003,2.255984,1.945447,2.204923,2.424173,2.031604,1.92449,1.959055,1.710438,1.443943,1.167314,1.616905,2.118006,2.319163,2.621594,2.604843,1.782621,1.780617,2.311945,1.572536,2.146454
Shc4,2.049094,1.939611,1.679058,2.27616,2.355923,1.639531,1.755833,2.045358,1.270334,0.06064219,0.5418487,0.08488271,0.4528427,0.2181745,0.233547,0.2088492,0.182812,0.1744907,0.4057752,0.3906755,0.3063213
3000002C10Rik,2.045699,2.359767,1.187362,2.239455,2.221351,1.32504,2.759231,3.451046,2.195915,2.515844,1.816526,1.600683,2.134881,2.262835,1.541447,1.837917,2.298262,2.193649,3.443374,2.455733,2.079533
Bre,2.045699,1.351503,1.781043,0.7634505,1.817469,2.168248,3.612084,3.820142,3.919981,2.994063,1.486249,1.83351,3.842785,2.692961,3.963721,0.8592858,1.504317,1.435843,1.721687,1.004618,1.701436
Dchs1,2.045507,2.038647,3.158087,1.410724,1.732491,2.941314,1.765742,2.192224,1.65277,0.164658,0.163472,0.1536512,0.9990304,0.8392274,1.532495,6.899417,6.232302,4.527267,4.200521,4.095778,3.853706
Herc2,2.044366,1.984843,2.257814,1.740663,1.553933,2.372484,2.006798,2.248481,2.194484,1.65709,1.399327,1.786265,0.8533958,1.13068,1.173671,3.892095,3.062353,2.813348,3.966858,4.356085,4.291053
