gene_symbol,N1,N2,OPC1,OPC2,GC1,GC2,MOG1,MOG2,A1,A2,MGL1,MGL2,Endo1,Endo2
1110028C15Rik,3.104332,3.249612,5.315859,2.57485,2.093917,1.046454,0.375952,0.631607,5.647457,6.167862,2.676816,1.889225,6.352029,5.991003
1110031I02Rik,4.681945,4.320535,6.916233,10.6686,4.831511,6.879965,6.386862,6.941291,6.369462,6.968898,4.522902,5.614011,8.127638,7.917083
1110032A03Rik,3.423583,3.479435,4.580179,6.20489,7.955999,8.838186,16.592536,13.490155,3.186269,3.138946,4.783779,3.404764,5.228603,5.481751
1110032A04Rik,0.447049,0.123663,0.1,0.101597,0.1,0.1,0.1,0.109955,0.36385,0.348265,0.11634,0.1,0.1,0.1
1110032F04Rik,1.038438,0.928024,2.294993,2.104821,0.506655,0.307173,0.1,0.335311,2.525594,4.608779,0.11599,0.1,0.1,0.1
1110034A24Rik,3.31006,3.902952,2.729618,3.858182,1.905086,2.729128,2.152524,1.472591,2.216185,2.321878,1.518562,0.886721,1.576021,1.912267
1110034B05Rik,5.42415,6.373476,9.46393,7.298761,5.245523,2.814744,1.982132,2.617677,8.972817,7.119826,1.118237,0.394908,3.15606,4.138426
1110034G24Rik,2.880227,2.95105,4.67926,5.872574,2.691574,3.285053,1.835555,2.645378,5.920371,4.430845,3.533187,5.909007,29.282933,31.563256
1110036E04Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110037F02Rik,3.935704,5.511523,6.644152,5.419397,4.313251,3.882355,1.017501,1.25599,7.453985,6.67,2.634442,1.601446,10.88896,10.444817
1110038B12Rik,48.688886,50.087183,23.844856,30.906817,19.783048,34.138095,10.497498,14.537103,18.705176,18.807692,32.182981,22.883043,39.853215,48.38954
1110038D17Rik,3.505773,2.888179,3.475462,4.134146,3.12396,3.473538,2.319882,2.920157,7.038463,5.795498,6.001818,6.35412,4.855213,5.351893
1110038F14Rik,6.942655,7.565642,14.021342,20.702497,9.84779,11.048142,6.970318,6.650888,14.527856,12.422413,7.024903,6.645687,12.735451,14.869365
1110046J04Rik,0.312547,0.643699,0.1,0.584059,0.338329,1.225171,0.57531,1.699488,0.1,0.1,0.1,0.164691,0.1,0.23502
1110049F12Rik,24.764805,23.362721,19.016358,29.426398,18.23348,26.864647,35.008367,34.18239,9.400934,8.871901,22.187297,28.167,11.932547,13.366552
1110051M20Rik,17.625645,20.111761,14.477492,21.083974,12.578485,16.844193,13.157737,13.410322,7.504488,9.19219,4.020015,4.646134,5.088406,5.115695
1110054M08Rik,1.387542,1.130029,3.535998,2.772232,0.602241,0.578265,0.292529,0.524058,7.01546,5.151134,1.964588,2.568587,3.573861,3.783331
1110054O05Rik,2.802447,2.561315,4.098012,5.010077,3.641188,4.639966,1.913993,2.669953,1.991586,1.983971,4.195549,2.975838,1.440407,1.593579
1110057K04Rik,6.662775,11.629999,17.775026,24.725214,34.532765,36.314959,43.306673,42.422183,11.459015,10.570845,13.022238,9.779315,6.660651,6.529354
1110058L19Rik,14.500597,12.227391,12.652211,16.650849,11.200419,13.839799,9.884239,9.750161,6.692086,7.407748,5.783282,7.396462,13.752973,16.725628
1110059E24Rik,6.088988,5.823545,10.452866,9.151602,7.12532,3.530598,3.639355,4.391474,11.631505,7.129042,2.767,3.161445,14.259314,16.707278
1110059G10Rik,2.111996,1.940792,3.007035,2.208966,1.601534,1.035363,1.3495,1.202816,1.527592,1.865218,0.752828,0.851052,3.615583,4.086109
1110059M19Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1110065P20Rik,27.967083,28.297186,20.018887,34.539769,23.969675,36.072035,44.45267,44.913828,17.915312,16.682564,9.856039,17.328287,21.239743,27.955763
1110067D22Rik,14.309568,17.089936,31.24583,22.904564,7.447407,5.191019,0.681122,1.843604,20.827151,23.925711,0.886352,0.676949,6.763627,7.314445
1190002F15Rik,0.756221,0.682712,5.111406,5.439929,0.527109,0.476467,0.1,0.312567,1.262595,2.211028,0.807687,0.284591,1.864945,2.077703
1190002H23Rik,3.788851,6.660363,81.777234,108.201077,21.837638,26.6578,1.246027,4.522025,75.837138,68.952454,3.287424,2.344258,70.418956,74.757706
1190002N15Rik,18.800617,21.502945,11.007935,8.705262,17.14675,7.464888,4.489979,5.104116,3.741806,5.958352,1.380399,1.134779,2.455417,2.336761
1190003J15Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.234705,0.140237,0.1,0.1,0.1,0.1
1190003K10Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1190005F20Rik,2.749928,3.302491,5.568247,5.488762,3.359185,2.453082,1.223926,1.226727,8.054294,5.795923,2.676234,2.869024,2.749312,2.858156
1190005I06Rik,2.179025,3.047898,1.343213,0.747944,1.200975,1.85619,3.95313,3.414866,3.705115,2.846819,0.933138,1.726774,0.340333,0.347809
1190007F08Rik,1.542363,2.043277,1.847905,2.14139,8.815931,8.342851,22.998108,18.848643,0.605414,0.486456,4.528685,5.614732,0.203657,0.472096
1190007I07Rik,1.759679,0.536671,2.334734,1.782252,0.992394,0.641323,0.790733,1.140496,1.126247,1.509337,1.35079,2.021794,3.15876,3.096832
1200009I06Rik,0.1,0.1,0.176409,0.18354,0.1,0.1,0.1,0.1,0.570784,0.446138,0.407728,0.562955,2.11371,2.767503
1200011I18Rik,5.400892,6.431027,3.856109,3.166003,3.78576,2.550967,1.469226,2.003174,2.497971,2.880803,1.991064,1.565623,5.975236,5.211853
1200011M11Rik,4.628539,5.969365,3.919656,8.031676,2.658602,5.683354,1.384333,2.477749,5.186107,4.860805,5.444876,4.193282,3.475578,3.184214
1200014J11Rik,2.483908,3.938206,4.702374,4.21167,2.620799,2.409189,1.009487,1.230855,4.536094,4.025868,6.219774,5.287126,5.770773,5.886984
1200016B10Rik,1.041943,1.515434,3.215423,2.231912,2.754818,1.234438,0.82561,0.762102,4.490468,3.917111,0.861936,0.685582,5.349508,5.580341
1300001I01Rik,9.578059,9.236515,7.486025,9.027483,5.054538,6.38496,3.021281,3.739787,25.178066,19.054926,11.752351,10.965943,3.56242,3.594702
1300002E11Rik,3.589856,2.51499,6.625582,3.597688,4.470758,1.879397,2.867395,3.018821,5.805818,6.063702,0.337714,1.024046,4.640549,6.427802
1300002K09Rik,0.1,0.1,0.1,0.1,0.105955,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300010F03Rik,1.76092,4.186338,7.6183,7.187839,5.107643,5.291412,1.843468,2.77384,16.834076,14.130512,2.21632,1.452128,7.223716,7.296235
1300014I06Rik,1.976783,2.952515,26.250142,40.075572,18.027028,33.408742,1.561357,1.883346,2.229791,3.632728,11.735567,6.199668,15.060702,15.455491
1300015D01Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300017J02Rik,0.1,0.1,0.148994,0.1,0.15016,0.306304,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300018I17Rik,15.347145,14.637271,12.266126,13.534608,6.70022,10.652954,5.186014,7.048162,9.756703,9.388108,17.935874,20.877099,3.899704,3.696033
1300018J18Rik,6.678534,6.569762,8.424933,11.906767,10.650898,13.187504,10.423592,11.251435,8.181828,7.945265,7.139604,10.278438,8.955945,10.186975
1500001M20Rik,3.534585,4.862122,3.28547,5.022563,1.731278,2.445924,1.230414,1.578252,1.98963,3.258182,2.985064,2.347172,4.867319,5.484986
1500002O10Rik,0.145445,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.788396,1.091731,0.1,0.1,0.1,0.1
1500002O20Rik,9.928457,11.222779,9.084925,12.405729,8.304988,10.049831,9.082017,9.264227,9.036794,8.898875,23.5908,26.931381,8.482542,8.822804
1500003O03Rik,20.873904,22.01391,20.1842,24.356053,20.166458,23.1245,18.707198,19.836069,17.300488,18.074311,13.418851,14.178138,29.375862,27.725292
1500004A13Rik,1.016264,1.086197,0.89301,0.818169,0.683876,0.526095,0.476621,0.458012,0.83852,1.05991,0.1,0.1,0.1,0.1
1500009C09Rik,18.972806,18.793102,36.808906,48.884339,11.588407,21.834118,8.006289,10.867897,39.353258,38.576918,3.80041,5.393459,0.933458,0.719294
1500009L16Rik,30.051099,29.69264,4.767002,7.065184,0.816626,1.641012,0.697373,1.146258,1.504468,2.53881,0.306274,0.517351,0.775115,0.962981
1500010J02Rik,13.173439,12.629551,10.650373,12.506464,4.396093,5.088593,3.028301,3.459526,8.450828,9.998855,20.305848,27.473282,4.325179,4.012328
1500011B03Rik,47.15804,43.866156,16.816479,22.263611,27.835154,34.07414,41.575249,41.950963,12.338865,12.900963,5.251705,4.739171,11.589511,11.393994
1500011H22Rik,21.955881,23.2833,17.184568,23.779864,10.517963,12.51283,8.126462,7.776046,8.232625,10.800706,2.120606,3.829105,12.313899,17.106139
1500011K16Rik,8.640112,7.16157,12.916709,19.604964,10.388143,11.810933,13.199155,11.770883,8.008785,8.039458,11.686485,18.310709,13.429722,19.345195
1500012F01Rik,58.17462,68.820044,24.590006,23.746764,17.512856,22.728237,23.026128,21.477293,18.221648,17.220251,26.131589,19.343103,54.479246,64.867293
1500015A07Rik,6.714355,5.402844,3.909353,5.530534,3.090602,4.383471,4.237776,4.568341,2.845415,2.622281,3.762666,2.729814,1.386827,1.741561
1500015O10Rik,0.302663,0.1,0.112842,0.1,0.1,0.1,0.1,0.1,0.276237,0.114297,0.1,0.1,0.414668,0.755874
1500016L03Rik,18.700763,20.547637,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1500017E21Rik,0.205064,0.152169,0.1,0.1,0.1,0.1,0.1,0.1,0.296948,0.649425,0.1,0.1,0.1,0.1
1500031L02Rik,6.810659,10.236458,7.843849,10.582389,3.778499,5.132497,2.477043,3.185187,5.163661,5.57063,1.157288,1.044975,4.99747,5.945161
1500032L24Rik,60.008353,60.094758,67.639314,96.925925,87.410564,129.450973,127.054722,130.753163,42.289335,38.944769,57.02444,78.888356,83.962945,100.611674
1520402A15Rik,2.088948,1.795623,2.28562,2.733608,0.638868,0.971165,0.851053,1.09504,6.094515,5.827551,0.416843,0.482614,0.276965,0.226145
1600002D24Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1600002H07Rik,2.771228,3.243914,2.220739,2.899846,1.344123,1.617451,1.13704,1.170973,2.371179,2.786371,1.433767,1.269262,1.775486,1.456378
1600002K03Rik,2.160527,1.537452,4.938529,4.167486,4.004647,3.545329,4.389915,2.846599,3.021576,3.010493,7.095188,8.829931,1.777441,2.133933
1600010M07Rik,0.1,0.1,0.34434,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.538415,1.991858,0.1,0.1
1600012F09Rik,2.889362,3.699382,6.525802,4.432024,6.951024,3.069555,2.622722,2.149395,4.710852,4.495994,1.80815,1.577108,2.400288,2.444491
